ID,EMOJIREVEALER,KEY,EMOJICODE
TahmKench,\:TahmKench:,223,<:TahmKench:915339034283376650>
Taliyah,\:Taliyah:,163,<:Taliyah:915339033910067240>
Talon,\:Talon:,91,<:Talon:915339033876504576>
Taric,\:Taric:,44,<:Taric:915339034115584020>
Teemo,\:Teemo:,17,<:Teemo:915339033763250258>
Thresh,\:Thresh:,412,<:Thresh:915339034014933052>
Tristana,\:Tristana:,18,<:Tristana:915339034182713354>
Trundle,\:Trundle:,48,<:Trundle:915339034631503922>
Tryndamere,\:Tryndamere:,23,<:Tryndamere:915339034270769242>
TwistedFate,\:TwistedFate:,4,<:TwistedFate:915339033838768149>
Twitch,\:Twitch:,29,<:Twitch:915339034249793546>
Udyr,\:Udyr:,77,<:Udyr:915339033893273672>
Urgot,\:Urgot:,6,<:Urgot:915339034384007168>
Varus,\:Varus:,110,<:Varus:915339034342068315>
Vayne,\:Vayne:,67,<:Vayne:915339034581147708>
Veigar,\:Veigar:,45,<:Veigar:915339034295943198>
Velkoz,\:Velkoz:,161,<:Velkoz:915339034400784444>
Vex,\:Vex:,711,<:Vex:915339034451136532>
Vi,\:Vi:,254,<:Vi:915339034467926086>
Viego,\:Viego:,234,<:Viego:915339034463723530>
Viktor,\:Viktor:,112,<:Viktor:915339034174308434>
Vladimir,\:Vladimir:,8,<:Vladimir:915339034472120340>
Volibear,\:Volibear:,106,<:Volibear:915339034480488528>
Warwick,\:Warwick:,19,<:Warwick:915339034484678656>
Xayah,\:Xayah:,498,<:Xayah:915339034618900520>
Xerath,\:Xerath:,101,<:Xerath:915339034535022662>
XinZhao,\:XinZhao:,5,<:XinZhao:915339034551812167>
Yasuo,\:Yasuo:,157,<:Yasuo:915339034560172032>
Yone,\:Yone:,777,<:Yone:915339034291736648>
Yorick,\:Yorick:,83,<:Yorick:915339034652442674>
Yuumi,\:Yuumi:,350,<:Yuumi:915339152021671999>
Zac,\:Zac:,154,<:Zac:915339152629825617>
Zed,\:Zed:,238,<:Zed:915339152864714853>
Ziggs,\:Ziggs:,115,<:Ziggs:915339152835358740>
Zilean,\:Zilean:,26,<:Zilean:915339152864739358>
Zoe,\:Zoe:,142,<:Zoe:915339152906657895>
Zyra,\:Zyra:,143,<:Zyra:915339152814407730>
